TimeDeath     ID      Tj      Df      Dd      Db
12     2000     7     0     5     5     AS
13     2031     11     0     2     2     AM
13     2028     11     0     2     2     AM
14     2008     8     0     6     6     AD
16     2021     10     0     6     6     AM
16     2022     10     0     6     6     AM
17     2006     7     1     9     10     AS
17     2010     8     0     9     9     AM
17     2024     11     1     5     6     AD
19     2036     18     0     1     1     AM
20     2005     7     0     13     13     AM
21     2003     7     1     13     14     AS
21     2032     18     0     3     3     AM
22     2013     8     1     13     14     AS
22     2015     8     3     11     14     AS
22     2033     18     0     4     4     AD
22     2007     7     0     15     15     AM
23     2002     7     0     16     16     AS
24     2001     7     15     2     17     AM
24     2034     18     1     5     6     AD
25     2038     18     0     7     7     AD
29     2018     10     4     15     19     AS
30     2043     28     0     2     2     AM
31     2029     11     5     15     20     AS
31     2014     8     1     22     23     AS
31     2045     28     0     3     3     AM
32     2035     18     2     12     14     AS
32     2004     7     3     22     25     AS
33     2012     8     1     24     25     AS
33     2017     10     4     19     23     AS
33     2041     28     2     3     5     AM
34     2042     28     0     6     6     AD
35     2044     28     1     6     7     AD
36     2039     18     5     13     18     AS
37     2020     10     15     12     27     AS
37     2023     10     2     25     27     AS
37     2037     18     5     14     19     AS
38     2027     11     2     25     27     AS
38     2040     28     2     8     10     AS
39     2046     28     2     9     11     AS
41     2011     8     1     32     33     AS
42     2054     39     0     3     3     AS
43     2062     41     0     2     2     AM
43     2051     39     0     4     4     AM
44     2061     41     0     3     3     AM
47     2058     41     0     6     6     AS
47     2079     45     0     2     2     AM
47     2078     45     0     2     2     AM
47     2053     39     0     8     8     AM
53     2091     51     0     2     2     AM
53     2093     51     0     2     2     AM
54     2052     39     1     14     15     AD
55     2067     44     0     11     11     AS
55     2068     44     1     10     11     AS
57     2065     44     0     13     13     AS
57     2101     55     0     2     2     AM
58     2076     45     1     12     13     AS
58     2099     55     0     3     3     AM
59     2080     49     1     9     10     AS
59     2103     55     1     3     4     AS
59     2098     55     3     1     4     AM
60     2100     55     1     4     5     AS
60     2090     51     3     6     9     AM
61     2082     49     3     9     12     AS
62     2089     51     1     10     11     AS
63     2111     61     0     2     2     AM
63     2110     61     0     2     2     AM
64     2073     45     2     17     19     AS
67     2104     61     2     4     6     AS
69     2139     67     0     2     2     AM
77     2157     73     1     3     4     AM
80     2119     64     1     15     16     AS
81     2182     80     0     1     1     AM
81     2183     80     0     1     1     AM
84     2113     64     0     20     20     AS
84     2179     80     1     3     4     AM
84     2176     80     2     2     4     AM
85     2131     66     4     15     19     AS
85     2133     66     2     17     19     AS
85     2173     78     0     7     7     AM
87     2102     55     0     32     32     AD
88     2115     64     2     22     24     AS
89     2147     71     3     15     18     AS
93     2206     91     0     2     2     AM
93     2204     91     0     2     2     AM
95     2214     94     0     1     1     AM
99     2229     97     0     2     2     AM
99     2231     97     0     2     2     AM
107     2235     104     0     3     3     AM
107     2069     44     10     53     63     AD
107     2238     104     0     3     3     AM
108     2154     73     0     35     35     AD
109     2240     107     0     2     2     AM
109     2224     97     3     9     12     AM
110     2227     97     3     10     13     AM
111     2234     104     4     3     7     AM
111     2081     49     11     51     62     AD
113     2221     96     0     17     17     AM
113     2169     78     0     35     35     AD
113     2222     96     0     17     17     AM
115     2064     44     4     67     71     AD
117     2220     96     17     4     21     AM
120     2248     118     0     2     2     AM
122     2094     51     7     64     71     AD
123     2056     41     1     81     82     AD
124     2059     41     5     78     83     AD
126     2281     123     0     3     3     AM
126     2283     123     0     3     3     AM
126     2134     66     6     54     60     AD
127     2153     73     9     45     54     AD
127     2279     121     0     6     6     AM
131     2165     75     11     45     56     AD
135     2318     133     0     2     2     AM
135     2300     130     0     5     5     AM
137     2317     133     1     3     4     AM
140     2342     139     0     1     1     AM
143     2337     139     2     2     4     AM
143     2340     139     0     4     4     AM
145     2124     65     0     80     80     AD
145     2347     142     0     3     3     AM
147     2332     138     0     9     9     AM
147     2333     138     0     9     9     AM
152     2363     150     0     2     2     AM
153     2145     71     3     79     82     AS
153     2367     150     0     3     3     AM
162     2114     64     6     92     98     AS
162     2386     159     0     3     3     AM
163     2379     156     0     7     7     AM
163     2388     159     0     4     4     AM
163     2382     156     0     7     7     AM
170     2407     167     0     3     3     AM
170     2057     41     2     127     129     AD
175     2141     67     2     106     108     AS
176     2420     175     0     1     1     AM
178     2116     64     2     112     114     AS
180     2436     178     0     2     2     AM
181     2439     178     0     3     3     AM
182     2431     177     0     5     5     AM
184     2424     177     6     1     7     AM
187     2418     175     1     11     12     AM
189     2195     88     12     89     101     AD
190     2072     45     5     140     145     AD
191     2158     73     64     54     118     AS
192     2287     123     26     43     69     AS
192     2128     66     4     122     126     AS
192     2470     191     0     1     1     AM
193     2196     88     50     55     105     AS
194     2181     80     0     114     114     AD
195     2144     71     3     121     124     AS
196     2148     71     3     122     125     AS
196     2477     193     0     3     3     AM
196     2476     193     0     3     3     AM
199     2303     130     12     57     69     AS
201     2242     107     36     58     94     AS
201     2484     199     0     2     2     AM
202     2259     119     25     58     83     AS
203     2486     199     0     4     4     AM
205     2489     202     0     3     3     AM
205     2481     199     4     2     6     AM
206     2272     121     15     70     85     AS
206     2475     193     3     10     13     AM
207     2469     191     0     16     16     AM
207     2472     193     3     11     14     AM
208     2468     191     16     1     17     AM
209     2256     119     10     80     90     AD
210     2365     150     13     47     60     AS
218     2243     107     49     62     111     AS
218     2526     216     0     2     2     AM
218     2522     216     0     2     2     AM
220     2262     119     15     86     101     AS
221     2266     120     15     86     101     AS
221     2280     123     10     88     98     AD
222     2271     120     15     87     102     AS
222     2532     220     0     2     2     AM
225     2538     223     0     2     2     AM
226     2531     220     0     6     6     AM
227     2285     123     53     51     104     AS
227     2546     224     0     3     3     AM
228     2322     136     16     76     92     AD
229     2559     226     0     3     3     AM
230     2529     220     8     2     10     AM
231     2518     214     0     17     17     AM
233     2400     167     15     51     66     AS
235     2578     233     0     2     2     AM
236     2582     233     0     3     3     AM
237     2584     235     0     2     2     AM
238     2291     128     10     100     110     AD
240     2596     238     0     2     2     AM
242     2597     238     0     4     4     AM
243     2593     238     2     3     5     AM
243     2162     75     10     158     168     AD
243     2574     232     0     11     11     AM
243     2575     232     0     11     11     AM
246     2606     245     0     1     1     AM
247     2205     91     46     110     156     AS
248     2602     245     1     2     3     AM
248     2572     232     12     4     16     AM
249     2304     131     11     107     118     AD
252     2239     104     36     112     148     AS
253     2294     128     12     113     125     AS
256     2299     130     24     102     126     AS
256     2617     253     0     3     3     AM
256     2358     148     21     87     108     AD
256     2619     253     0     3     3     AM
257     2611     250     0     7     7     AM
257     2609     250     1     6     7     AM
258     2306     131     53     74     127     AS
258     2307     131     12     115     127     AS
258     2561     230     0     28     28     AM
258     2568     232     12     14     26     AM
259     2257     119     37     103     140     AS
260     2513     214     0     46     46     AM
261     2512     214     45     2     47     AM
261     2507     213     0     48     48     AM
262     2409     172     15     75     90     AS
263     2269     120     15     128     143     AS
264     2209     94     12     158     170     AD
265     2327     136     11     118     129     AS
265     2629     262     0     3     3     AM
265     2628     262     0     3     3     AM
266     2277     121     39     106     145     AS
268     2357     148     27     93     120     AS
270     2632     267     0     3     3     AM
271     2643     268     0     3     3     AM
273     2635     267     0     6     6     AM
274     2663     272     0     2     2     AM
276     2679     275     0     1     1     AM
279     2151     71     8     200     208     AS
279     2693     277     0     2     2     AM
280     2247     107     0     173     173     AD
280     2692     277     0     3     3     AM
280     2683     276     0     4     4     AM
281     2676     275     0     6     6     AM
284     2264     120     25     139     164     AS
284     2701     283     0     1     1     AM
284     2702     283     0     1     1     AM
287     2699     283     2     2     4     AM
288     2350     142     20     126     146     AD
289     2700     283     2     4     6     AM
290     2709     287     0     3     3     AM
290     2675     275     6     9     15     AM
291     2648     270     0     21     21     AM
291     2673     275     7     9     16     AM
292     2625     262     4     26     30     AM
292     2121     65     5     222     227     AD
293     2194     88     50     155     205     AS
293     2175     78     10     205     215     AS
293     2312     133     13     147     160     AD
294     2722     293     0     1     1     AM
295     2724     293     0     2     2     AM
296     2437     178     16     102     118     AS
296     2396     164     14     118     132     AS
297     2341     139     12     146     158     AS
297     2212     94     45     158     203     AS
297     2236     104     76     117     193     AS
297     2505     213     0     84     84     AM
297     2627     262     3     32     35     AM
298     2361     150     21     127     148     AD
299     2743     298     0     1     1     AM
301     2742     298     0     3     3     AM
302     2748     299     0     3     3     AM
304     2346     142     26     136     162     AS
305     2739     298     4     3     7     AM
306     2738     298     4     4     8     AM
307     2263     119     15     173     188     AS
307     2244     107     27     173     200     AS
307     2503     210     0     97     97     AM
307     2504     213     84     10     94     AM
307     2325     136     0     171     171     AD
307     2502     210     0     97     97     AM
308     2408     172     15     121     136     AS
311     2769     310     0     1     1     AM
312     2763     309     0     3     3     AM
316     2799     315     0     1     1     AM
319     2797     315     2     2     4     AM
